"Facility_ID","Facility_Name","Facility_Type","Latitude","Longitude","Nearest_Major_Road","Distance_to_Highway_m","Buffer_Zone"
"PAT-FAC-0138","Siddharth Multispeciality Hospital","Hospital / Healthcare","25.607283","85.160536","Kumhrar Road","525.2","500m - 1000m (Intermediate Access)"
"PAT-FAC-0139","Ambey Nursing Home","Hospital / Healthcare","25.603588","85.16686","Kankarbagh Main Road","189.7","Within 500m (High Direct Access)"
"PAT-FAC-0140","Akshat Seva Sadan","Hospital / Healthcare","25.595548","85.121837","NH Corridor (NH139)","131.6","Within 500m (High Direct Access)"
"PAT-FAC-0141","Advanced Eye Care","Hospital / Healthcare","25.612404","85.119521","Patna Bypass / Expressway Corridor","310.9","Within 500m (High Direct Access)"
"PAT-FAC-0142","Mithila Hospital","Hospital / Healthcare","25.585992","85.173869","NH Corridor (NH22)","69.2","Within 500m (High Direct Access)"
"PAT-FAC-0143","Ram Ratan Hospital","Hospital / Healthcare","25.60893","85.173899","Kumhrar Road","845.4","500m - 1000m (Intermediate Access)"
"PAT-FAC-0144","Abhinandan Hospital","Hospital / Healthcare","25.597401","85.157937","Kumhrar Road","590.6","500m - 1000m (Intermediate Access)"
"PAT-FAC-0145","Bharat Petroleum","Fuel / Petrol Pump","25.581741","85.112082","NH Corridor (NH139)","41.7","Within 500m (High Direct Access)"
"PAT-FAC-0146","CGHS, Chajjubagh","Hospital / Healthcare","25.613597","85.137504","Fraser Road","166.6","Within 500m (High Direct Access)"
"PAT-FAC-0147","Dr. Usha Didwania Nursing Home","Hospital / Healthcare","25.609817","85.160512","Kumhrar Road","796.3","500m - 1000m (Intermediate Access)"
"PAT-FAC-0148","Chandra Shambhu Narayan Eye Hospital Pvt. Ltd.","Hospital / Healthcare","25.60326","85.146245","Chiriya Taar overbridge","24.5","Within 500m (High Direct Access)"
"PAT-FAC-0149","Shrinivas Hospital - Patna","Hospital / Healthcare","25.600863","85.149616","NH Corridor (NH139)","262.9","Within 500m (High Direct Access)"
"PAT-FAC-0150","Sarvamangla Clinic","Hospital / Healthcare","25.593717","85.175322","Kumhrar Road","802.6","500m - 1000m (Intermediate Access)"
"PAT-FAC-0151","Satyam Hospital, Gaya","Hospital / Healthcare","25.605808","85.088915","Bailey Road Flyover","134.5","Within 500m (High Direct Access)"
"PAT-FAC-0152","Anami Orthopaedics","Hospital / Healthcare","25.598863","85.128451","NH Corridor (NH139)","17.4","Within 500m (High Direct Access)"
